Name,Speech,Lemmas,verse_number,inferred_verse_number
Ἠλέκτρα,τοιάδ᾽ ἀνύσαντες ἔργα.,τοιόσδε ἀνύω ἔργον,,212.0
Χορός,φράζου μὴ πόρσω φωνεῖν.,φράζω μή πρόσω φωνέω,,213.0
Χορός,οὐ γνώμαν ἴσχεις ἐξ οἵων,οὐ γνώμη ἴσχω ἐξ οἷος,,214.0
Χορός,τὰ παρόντ᾽ οἰκείας εἰς ἄτας,ὁ πάρειμι οἰκεῖος εἶμι ἄτη,215,215.0
Χορός,ἐμπίπτεις οὕτως αἰκῶς;,ἐμπίτνω οὕτως ἀικής,,216.0
Χορός,"πολὺ γάρ τι κακῶν ὑπερεκτήσω,",πολύς γάρ τίς κάκη ὑπερκτάομαι,,217.0
Χορός,σᾷ δυσθύμῳ τίκτουσ᾽ ἀεὶ,σός δύσθυμος τίκτω ἀεί,,218.0
Χορός,ψυχᾷ πολέμους: τὰ δὲ τοῖς δυνατοῖς,ψυχάζω πόλεμος ὁ δέ ὁ δυνατέω,,219.0
Χορός,οὐκ ἐριστὰ πλάθειν.,οὐ ἐριστής πλάθω,220,220.0
Ἠλέκτρα,"δεινοῖς ἠναγκάσθην, δεινοῖς:",δεῖνος ἀναγκάζω δεῖνος,,221.0
Ἠλέκτρα,"ἔξοιδ᾽, οὐ λάθει μ᾽ ὀργά.",ἔξοιδα οὐ λάθος ἐγώ ὀργάς,,222.0
Ἠλέκτρα,ἀλλ᾽ ἐν γὰρ δεινοῖς οὐ σχήσω,ἄλλος ἐν γάρ δεῖνος οὐ ἔχω,,223.0
Ἠλέκτρα,"ταύτας ἄτας,",οὗτος ἄτη,,224.0
Ἠλέκτρα,ὄφρα με βίος ἔχῃ.,ὄφρα ἐγώ βίος ἔχις,225,225.0
Ἠλέκτρα,"τίνι γάρ ποτ᾽ ἄν, ὦ φιλία γενέθλα,",τίς γάρ πότε ἄν εἰμί φίλιος γένεθλον,,226.0
Ἠλέκτρα,"πρόσφορον ἀκούσαιμ᾽ ἔπος, τίνι φρονοῦντι καίρια;",πρόσφορος ἀκούω ἔπος τίς φρονέω καίριος,,227.0
Ἠλέκτρα,"ἄνετέ μ᾽ ἄνετε, παράγοροι:",ἄνετος ἐγώ ἄνετος παρήγορος,,228.0
Ἠλέκτρα,"τάδε γὰρ ἄλυτα κεκλήσεται,",ὅδε γάρ ἄλυτος καλέω,,229.0
Ἠλέκτρα,οὐδέ ποτ᾽ ἐκ καμάτων ἀποπαύσομαι,οὐδέ πότε ἐκ κάματος ἀποπαύω,230,230.0
Ἠλέκτρα,ἀνάριθμος ὧδε θρήνων.,ἀνάριθμος ὧδε θρῆνος,,231.0
Χορός,"ἀλλ᾽ οὖν εὐνοίᾳ γ᾽ αὐδῶ,",ἄλλος οὖν εὔνοια γε αὐδάω,,232.0
Χορός,"μάτηρ ὡσεί τις πιστά,",ματήρ ὡσεί τίς πιστόν,,233.0
Χορός,μὴ τίκτειν σ᾽ ἄταν ἄταις.,μή τίκτω σός ἄτη ἄτη,235,235.0
Ἠλέκτρα,"καὶ τί μέτρον κακότατος ἔφυ; φέρε,",καί τίς μέτρον κακότης φύω φέρω,,236.0
