Name,Speech,verse_number,inferred_verse_number,lemmata
Αἴας,μάστιγι πρῶτον νῶτα φοινιχθεὶς θάνῃ.,110.0,110.0,μάστιξ πρῶτος νῶτον φοινίσσω θνήσκω
Ἀθήνα,μὴ δῆτα τὸν δύστηνον ὧδέ γ᾽ αἰκίσῃ.,,111.0,μή δῆτα ὁ δύστηνος ὧδε γε αἰκίζω
Αἴας,"χαίρειν, Ἀθάνα, τἄλλ᾽ ἐγώ σ᾽ ἐφίεμαι:",,112.0,χαίρω Ἀθήνη τἄλλ ἐγώ σ ἐφίημι
Αἴας,κεῖνος δὲ τίσει τήνδε κοὐκ ἄλλην δίκην.,,113.0,ἐκεῖνος δέ τίνω ὅδε οὐ ἄλλος δίκη
Ἀθήνα,"σὺ δ᾽ οὖν, ἐπειδὴ τέρψις ἥδε σοι τὸ δρᾶν,",,114.0,σύ δ οὖν ἐπεί τέρψις ὅδε σύ ὁ δράω
Ἀθήνα,"χρῶ χειρί, φείδου μηδὲν ὧνπερ ἐννοεῖς.",115.0,115.0,χράω χείρ φείδομαι μηδείς ὅς ἐννοέω
Αἴας,"χωρῶ πρὸς ἔργον: σοὶ δὲ τοῦτ᾽ ἐφίεμαι,",,116.0,χωρέω πρός ἔργον σύ δέ τοῦτ ἐφίημι
Αἴας,τοιάνδ᾽ ἀεί μοι σύμμαχον παρεστάναι.,,117.0,τοιάνδ ἀεί ἐγώ σύμμαχος παρίστημι
Ἀθήνα,"ὁρᾷς, Ὀδυσσεῦ, τὴν θεῶν ἰσχὺν ὅση;",,118.0,ὁράω Ὀδυσσεύς ὁ θεός ἰσχύς ὅσος
Ἀθήνα,τούτου τίς ἄν σοι τἀνδρὸς ἢ προνούστερος,,119.0,οὗτος τις ἀνά σύ ἀνήρ ἤ πρόνους
Ἀθήνα,ἢ δρᾶν ἀμείνων ηὑρέθη τὰ καίρια;,120.0,120.0,ἤ δράω ἀμείνων εὑρίσκω ὁ καίριος
Ὀδυσσεύς,ἐγὼ μὲν οὐδέν᾽ οἶδ᾽: ἐποικτίρω δέ νιν,,121.0,ἐγώ μέν οὐδείς οἶδ ἐποικτείρω δέ νιν
Ὀδυσσεύς,"δύστηνον ἔμπας, καίπερ ὄντα δυσμενῆ,",,122.0,δύστηνος ἔμπας καίπερ εἰμί δυσμενής
Ὀδυσσεύς,"ὁθούνεκ᾽ ἄτῃ συγκατέζευκται κακῇ,",,123.0,ὁθούνεκα ἄτη συγκαταζεύγνυμι κακός
Ὀδυσσεύς,οὐδὲν τὸ τούτου μᾶλλον ἢ τοὐμὸν σκοπῶν:,,124.0,οὐδείς ὁ οὗτος μᾶλλον ἤ ἐμός σκοπέω
Ὀδυσσεύς,ὁρῶ γὰρ ἡμᾶς οὐδὲν ὄντας ἄλλο πλὴν,125.0,125.0,ὁράω γάρ ἐγώ οὐδείς εἰμί ἄλλος πλήν
Ὀδυσσεύς,εἴδωλ᾽ ὅσοιπερ ζῶμεν ἢ κούφην σκιάν.,,126.0,εἴδωλ ὅσος ζάω ἤ κοῦφος σκιά
Ἀθήνα,τοιαῦτα τοίνυν εἰσορῶν ὑπέρκοπον,,127.0,τοιοῦτος τοίνυν εἰσοράω ὑπέρκοπος
Ἀθήνα,"μηδέν ποτ᾽ εἴπῃς αὐτὸς εἰς θεοὺς ἔπος,",,128.0,μηδείς ποτ εἶπον αὐτός εἰς θεός ἔπος
Ἀθήνα,"μηδ᾽ ὄγκον ἄρῃ μηδέν᾽, εἴ τινος πλέον",,129.0,μηδ ὄγκος αἴρω μηδείς εἰ τις πλείων
Ἀθήνα,ἢ χειρὶ βρίθεις ἢ μακροῦ πλούτου βάθει.,130.0,130.0,ἤ χείρ βρίθω ἤ μακρός πλοῦτος βάθος
Ἀθήνα,ὡς ἡμέρα κλίνει τε κἀνάγει πάλιν,,131.0,ὡς ἡμέρα κλίνω τε ἐνάγω πάλιν
Ἀθήνα,ἅπαντα τἀνθρώπεια: τοὺς δὲ σώφρονας,,132.0,ἅπας ἀνθρώπειος ὁ δέ σώφρων
Ἀθήνα,θεοὶ φιλοῦσι καὶ στυγοῦσι τοὺς κακούς.,,133.0,θεός φιλέω καί στυγέω ὁ κακός
Χορός,"Τελαμώνιε παῖ, τῆς ἀμφιρύτου",,134.0,Τελαμών παῖς ὁ ἀμφίρυτος
Χορός,"Σαλαμῖνος ἔχων βάθρον ἀγχιάλου,",135.0,135.0,Σαλαμίς ἔχω βάθρον ἀγχίαλος
Χορός,σὲ μὲν εὖ πράσσοντ᾽ ἐπιχαίρω:,,136.0,σύ μέν εὖ πράσσοντ ἐπιχαίρω
Χορός,σὲ δ᾽ ὅταν πληγὴ Διὸς ἢ ζαμενὴς,,137.0,σύ δ ὅταν πληγή Ζεύς ἤ ζαμενής
Χορός,"λόγος ἐκ Δαναῶν κακόθρους ἐπιβῇ,",,138.0,λόγος ἐκ Δαναοί κακόθρους ἐπιβαίνω
Χορός,μέγαν ὄκνον ἔχω καὶ πεφόβημαι,,139.0,μέγας ὄκνος ἔχω καί φοβέω
Χορός,πτηνῆς ὡς ὄμμα πελείας.,140.0,140.0,πτηνός ὡς ὄμμα πέλεια
Χορός,ὡς καὶ τῆς νῦν φθιμένης νυκτὸς,,141.0,ὡς καί ὁ νῦν φθίω νύξ
Χορός,μεγάλοι θόρυβοι κατέχουσ᾽ ἡμᾶς,,142.0,μέγας θόρυβος κατέχουσ ἐγώ
Χορός,"ἐπὶ δυσκλείᾳ, σὲ τὸν ἱππομανῆ",,143.0,ἐπί δύσκλεια σύ ὁ ἱππομανής
Χορός,λειμῶν᾽ ἐπιβάντ᾽ ὀλέσαι Δαναῶν,,144.0,λειμῶν ἐπιβάντ ὄλλυμι Δαναοί
Χορός,"βοτὰ καὶ λείαν,",145.0,145.0,βοτόν καί λεία
Χορός,"ἥπερ δορίληπτος ἔτ᾽ ἦν λοιπή,",,146.0,ὅς δορίληπτος ἔτ εἰμί λοιπός
Χορός,κτείνοντ᾽ αἴθωνι σιδήρῳ.,,147.0,κτείνοντ αἴθων σίδηρος
Χορός,τοιούσδε λόγους ψιθύρους πλάσσων,,148.0,τοιόσδε λόγος ψίθυρος πλάσσω
Χορός,"εἰς ὦτα φέρει πᾶσιν Ὀδυσσεύς,",,149.0,εἰς οὖς φέρω πᾶς Ὀδυσσεύς
Χορός,καὶ σφόδρα πείθει: περὶ γὰρ σοῦ νῦν,150.0,150.0,καί σφόδρα πείθω περί γάρ σύ νῦν
Χορός,"εὔπειστα λέγει, καὶ πᾶς ὁ κλύων",,151.0,εὔπειστος λέγω καί πᾶς ὁ κλύω
Χορός,τοῦ λέξαντος χαίρει μᾶλλον,,152.0,ὁ λέγω χαίρω μᾶλλον
Χορός,τοῖς σοῖς ἄχεσιν καθυβρίζων.,,153.0,ὁ σός ἄχος καθυβρίζω
Χορός,τῶν γὰρ μεγάλων ψυχῶν ἱεὶς,,154.0,ὁ γάρ μέγας ψυχή ἵημι
Χορός,οὐκ ἂν ἁμάρτοις: κατὰ δ᾽ ἄν τις ἐμοῦ,155.0,155.0,οὐ ἄν ἁμαρτάνω κατά δ ἀνά τις ἐγώ
Χορός,τοιαῦτα λέγων οὐκ ἂν πείθοι:,,156.0,τοιοῦτος λέγω οὐ ἄν πείθω
Χορός,πρὸς γὰρ τὸν ἔχονθ᾽ ὁ φθόνος ἕρπει.,,157.0,πρός γάρ ὁ ἔχονθ ὁ φθόνος ἕρπω
Χορός,καίτοι σμικροὶ μεγάλων χωρὶς,,158.0,καίτοι σμικρός μέγας χωρίς
Χορός,σφαλερὸν πύργου ῥῦμα πέλονται:,,159.0,σφαλερός πύργος ῥῦμα πέλω
Χορός,μετὰ γὰρ μεγάλων βαιὸς ἄριστ᾽ ἂν,160.0,160.0,μετά γάρ μέγας βαιός ἄριστ ἄν
Χορός,καὶ μέγας ὀρθοῖθ᾽ ὑπὸ μικροτέρων.,,161.0,καί μέγας ὀρθοῖθ ὑπό σμικρός
Χορός,ἀλλ᾽ οὐ δυνατὸν τοὺς ἀνοήτους,,162.0,ἀλλ οὐ δυνατός ὁ ἀνόητος
Χορός,τούτων γνώμας προδιδάσκειν.,,163.0,οὗτος γνώμη προδιδάσκω
Χορός,ὑπὸ τοιούτων ἀνδρῶν θορυβεῖ,,164.0,ὑπό τοιοῦτος ἀνήρ θορυβέω
Χορός,χἠμεῖς οὐδὲν σθένομεν πρὸς ταῦτ᾽,165.0,165.0,ἐγώ οὐδείς σθένω πρός ταῦτ
Χορός,"ἀπαλέξασθαι σοῦ χωρίς, ἄναξ.",,166.0,ἀπαλέξω σύ χωρίς ἄναξ
